block_lot,norm_address...2,norm_city,norm_state,lat,long,norm_address...7,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,hamlet,city,county,state,ISO3166-2-lvl4,postcode,country,country_code,boundingbox,residential,neighbourhood,highway,man_made,building,shop,amenity,office,craft,leisure,town,railway
1203_59,169 COLUMBIA AVE,JERSEY CITY,NJ,40.75377662162162,-74.05331951351351,"169, Columbia Avenue, Jersey City, Hudson County, New Jersey, 07307, United States",314253707,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11633270,40.75377662162162,-74.05331951351351,169,Columbia Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3804_14,151 WEBSTER AV,JERSEY CITY,NJ,40.743750368421054,-74.04656763157894,"151, Webster Avenue, Jersey City, Hudson County, New Jersey, 07307, United States",314256693,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11632634,40.743750368421054,-74.04656763157894,151,Webster Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29201_3,241 PEARSALL AVE,JERSEY CITY,NJ,40.69759176086957,-74.09655352173914,"JFK Boulevard at Pearsall Avenue, Pearsall Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States",66451637,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6171961455,40.6978045,-74.0966803,NA,Pearsall Avenue,Greenville,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,JFK Boulevard at Pearsall Avenue,NA,NA,NA,NA,NA,NA,NA,NA,NA
3404_34,112 ZABRISKIE ST,JERSEY CITY,NJ,40.747283,-74.05455366666666,"112, Zabriskie Street, Jersey City, Hudson County, New Jersey, 07307, United States",314251285,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,582438587,40.747282999999996,-74.05455366666666,112,Zabriskie Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07307,United States,us,,Jersey City,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
29801_66,56 PAMRAPO AV,JERSEY CITY,NJ,40.69202613751623,-74.09920272014121,"56, Pamrapo Avenue, Jersey City, Hudson County, New Jersey, 07305, United States",314246800,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,11631765,40.69202613751623,-74.09920272014121,56,Pamrapo Avenue,NA,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9903_6,156 BRUNSWICK ST,JERSEY CITY,NJ,40.7247172,-74.05021998987228,"156, Brunswick Street, Jersey City, Hudson County, New Jersey, 07302, United States",341995840,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,1091736118,40.7247172,-74.05021998987228,156,Brunswick Street,NA,Jersey City,Hudson County,New Jersey,US-NJ,07302,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13504_7,26 TUERS AVE,JERSEY CITY,NJ,40.72565359646766,-74.0665736536489,"24, Tuers Avenue, Bergen, Jersey City, Hudson County, New Jersey, 07306, United States",200629002,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,410189120,40.725591300000005,-74.06655749126551,24,Tuers Avenue,Bergen,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19902_36,173 HALLADAY ST,JERSEY CITY,NJ,40.70980622222222,-74.06649566666667,"173, Halladay Street, Communipaw, Jersey City, Hudson County, New Jersey, 07304, United States",314253721,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,60419789,40.70980622222222,-74.06649566666667,173,Halladay Street,Communipaw,Jersey City,Hudson County,New Jersey,US-NJ,07304,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25201_71,474 OCEAN AVE,JERSEY CITY,NJ,40.702533,-74.08134571428572,"Ocean Avenue at Stegman Street, Ocean Avenue, Greenville, Jersey City, Hudson County, New Jersey, 07305, United States",66762084,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",node,6169672341,40.7027561,-74.0812151,NA,Ocean Avenue,Greenville,Jersey City,Hudson County,New Jersey,US-NJ,07305,United States,us,,NA,NA,Ocean Avenue at Stegman Street,NA,NA,NA,NA,NA,NA,NA,NA,NA
13504_10,545 MERCER ST,JERSEY CITY,NJ,40.72572329411764,-74.06579288235295,"55, Jordan Avenue, Bergen, Jersey City, Hudson County, New Jersey, 07306, United States",200067363,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,411216954,40.725575899999995,-74.06598886485259,55,Jordan Avenue,Bergen,Jersey City,Hudson County,New Jersey,US-NJ,07306,United States,us,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
