block_lot,postcode,lat,long
2204_32,07307,40.74915471428572,-74.04435357142857
3601_12,07307,40.74708617142857,-74.05452248571429
702_27,07307,40.75550572727273,-74.04760790909091
14602_11,07306,40.729282265306125,-74.08039920408163
14602_10,07306,40.72930673469388,-74.08038079591837
23001_31,07305,40.708136,-74.08558966666666
2203_4,07307,40.74946585714286,-74.04600599999999
4503_8,07307,40.74233072222222,-74.04723983333334
27005_44,07306,40.7394629,-74.0620435
27005_43,07305,40.7010356,-74.0936647
3704_3,07087,40.746452000000005,-74.0519545
2204_4,07307,40.749072,-74.045183
10303_58,07306,40.7340394,-74.0732457
2701_46,07307,40.74700271428571,-74.05382702380953
14204_9,07302,40.7135849,-74.04023558818685
2401_43,07307,40.74638930612245,-74.0418863877551
802_15,07307,40.7544804375,-74.04499200000001
2803_22,07307,40.74827061538461,-74.04919823076922
602_55,07307,40.7569926,-74.052261
16801_4,07304,40.7217935,-74.069122
2805_27,07307,40.74937543478261,-74.04799647826087
11005_9,NA,NA,NA
11005_8,NA,NA,NA
1301_55,07307,40.753839000000006,-74.05217449999999
11508_14,07302,40.72099325,-74.042410875
11508_13,07302,40.7209785,-74.04224775
2501_10,07307,40.749270193548384,-74.05940548387098
3804_2,07307,40.74458354545455,-74.04647054545454
4305_33,07307,40.74312760869565,-74.05634495652174
1402_43,07307,40.75264958823529,-74.04994658823529
2902_19,07307,40.74579560869565,-74.04731695652174
23303_2,07305,40.70702077777778,-74.07480633333333
12308_20,07306,40.726246375,-74.062936875
3404_36,07307,40.74734528571428,-74.05471514285715
2101_45,07307,40.751907071428576,-74.05206171428571
5602_7,07306,40.73943630229788,-74.05794202270431
5602_5,07306,40.73946848818812,-74.05803426002248
2701_38,07307,40.74675357142857,-74.05318111904762
12005_9,07306,40.73055715,-74.06871164701178
1203_49,07307,40.75443013513514,-74.05288545945946
5101_36,07087,40.74095609090909,-74.04613472727272
602_16,07307,40.757119067481135,-74.05302660702846
4201_17,07307,40.74614428571428,-74.06007785714286
2603_27,07307,40.750113391304346,-74.05182195652174
16803_76,07306,40.7236813,-74.0680928
11010_4,07306,40.7349128,-74.059413
2101_38,07307,40.75166632142857,-74.05146721428571
20401_61,07304,40.71916530223941,-74.08976693984225
9901_1,07302,40.72506073684211,-74.0513185263158
2501_17,07307,40.750080857142855,-74.05831214285715
23703_21,07305,40.704418,-74.07524405263158
11009_27,07302,40.723533,-74.05217
7902_69,07306,40.734563625,-74.06223066666666
26201_61,07305,40.70396846835443,-74.09524826582279
7902_61,07306,40.7344876875,-74.06159316666667
11507_16,07302,40.7233492,-74.0407021
11507_6,07302,40.72075649999999,-74.04162125
11507_21,07302,40.720185066666666,-74.0414098
7902_68,07306,40.7345551875,-74.06215983333334
7902_67,07306,40.73454675,-74.062089
4306_27,07306,40.7426757,-74.05726725000001
20503_5,07304,40.718845,-74.08785014285715
2201_26,07307,40.749135,-74.047383
5101_21,07307,40.739335125,-74.046139
2402_11,07087,40.74821416666667,-74.04147966666667
5705_12,07306,40.73751572222223,-74.05426533333333
2103_3,07307,40.750972,-74.05018133333334
3803_32,07307,40.74469114285714,-74.04780928571428
4901_12,07306,40.73865573584906,-74.05319060377359
2705_30,07307,40.74922488888889,-74.05113944444444
22103_10,07305,40.71361407407407,-74.09260014814815
1301_9,07307,40.753339,-74.05336802564102
2302_6,07307,40.748900142857146,-74.04426971428572
1703_50,07087,40.74969418181818,-74.04052
19801_1,07304,40.711731,-74.071779
21301_2,07304,40.7135444,-74.0764945
4503_5,07307,40.74215555555556,-74.04735133333334
801_12,07307,40.7546526,-74.0470128
12004_47,07306,40.73061385185185,-74.07035096296296
12004_48,07306,40.73067711111111,-74.07031177777777
8102_18,07302,40.7327995,-74.05752
14101_27,07302,40.71701194117647,-74.04480182352941
701_22,07307,40.7562248,-74.0505676
2204_31,07307,40.74921623809524,-74.04431585714286
12308_12,07306,40.72689854166667,-74.06260820833333
28702_1,07305,40.696834,-74.09298
5802_9,07307,40.73809057142857,-74.05000032142857
11006_21,07302,40.72280266666667,-74.05105300000001
1202_64,07307,40.75335677777778,-74.05466655555556
7402_21,07306,40.74056780336529,-74.07614120896352
9801_14,NA,NA,NA
3001_43,07307,40.744998936264096,-74.0445503412189
3001_44,07307,40.74511963558759,-74.04447325355366
15203_26,07306,40.72144659999999,-74.0675774
5602_24,07306,40.738187789473685,-74.05557563157895
9901_5,NA,NA,NA
13802_14,07302,40.7185661,-74.053865
5007_12,07307,40.739831333333335,-74.04999344444444
3903_27,07087,40.7430046,-74.04480306666667
9902_23,NA,NA,NA
3703_43,07307,40.74527411111111,-74.05151677777778
2503_36,07307,40.751095709677415,-74.05630309677419
18104_59,07304,40.72178825,-74.08898149999999
703_11,07307,40.7551668,-74.0487598
3304_13,07307,40.7472192,-74.0597072
2002_7,07307,40.75295499239921,-74.05600570124064
3403_32,07307,40.74792768181818,-74.05417354545455
4403_24,07307,40.741948,-74.04877266666666
12608_3,07302,40.7213758125,-74.0512485
